state_id,state,year,complaints_total,complaints_per100k,log_complaints_per100k,log_complaints_total,complaints_accepted,complaints_accepted_per100k,log_complaints_accepted_per100k,cso_broad_lag,log_cso_broad_lag,cso_broad_t,log_cso_broad_t,staff_total,log_staff,staff_visitadurias,log_staff_visitadurias,budget_nominal,budget_real2020,log_budget_real,population,homicides,homicide_rate,log_homicide_rate,gdp_percapita_2018,log_gdp_percapita,political_alignment,governor,governor_party,red_tdt_n,red_tdt_dummy,log_red_tdt,n_eventos_lag,log_eventos_lag
01,Aguascalientes,2019,430.0,29.93724318370746,3.399103296719557,6.063785208687608,258.0,17.962345910224474,2.888277672953566,6,1.791759469228055,6,1.791759469228055,36.0,3.58351893845611,14.0,2.6390573296152584,19783881.0,20691838.89051584,16.84524992399925,1436338,91,6.335556115621811,1.846177594548799,229304.21948037305,12.342804870248312,0,Martín Orozco Sandoval,PAN,0,0,,736.0,6.601230118728877
01,Aguascalientes,2020,409.0,28.089694722021907,3.335402773204548,6.013715156042802,178.0,12.224854915696575,2.5034711674538315,6,1.791759469228055,5,1.6094379124341005,35.0,3.555348061489413,14.0,2.6390573296152584,19469132.36,19469132.36,16.784340813438117,1456050,72,4.9448851344390645,1.5983537361778015,210930.7255932145,12.259285043827024,0,Martín Orozco Sandoval,PAN,0,0,,1048.0,6.954638864880987
01,Aguascalientes,2021,385.0,26.143435790703123,3.263598137611764,5.953243334287785,385.0,26.143435790703123,3.263598137611764,5,1.6094379124341005,5,1.6094379124341005,36.0,3.58351893845611,13.0,2.5649493574615367,18701273.0,17894756.332111724,16.70001828555487,1472645,75,5.092877102085024,1.62784291686029,214059.1384889094,12.274007603905908,0,Martín Orozco Sandoval,PAN,0,0,,434.0,6.073044534100405
01,Aguascalientes,2022,505.0,33.867023980535514,3.5224417970269783,6.22455842927536,451.0,30.24559963410201,3.409350707254297,5,1.6094379124341005,10,2.302585092994046,42.0,3.737669618283368,15.0,2.70805020110221,20172938.0,18098813.924277768,16.711356965043507,1491126,70,4.694438967598982,1.5463786098009773,210983.00680157144,12.259532872729524,0,Martín Orozco Sandoval,PAN,0,0,,84.0,4.430816798843313
01,Aguascalientes,2023,706.0,46.729002891770726,3.8443650188380056,6.559615237493242,468.0,30.97616622287352,3.4332180772624104,10,2.302585092994046,10,2.302585092994046,43.0,3.7612001156935615,17.0,2.833213344056216,21205200.0,18177859.31043942,16.715714890079763,1510839,85,5.626013096034719,1.72740103783508,221277.49283676155,12.307172816559458,0,María Teresa Jiménez Esquivel,PAN,0,0,,306.0,5.723585101952381
01,Aguascalientes,2024,669.0,43.72020376621128,3.777810324006792,6.505784060128229,497.0,32.479732842760846,3.4806162899751927,10,2.302585092994046,0,,42.0,3.737669618283368,16.0,2.772588722239781,24563164.0,20072044.12665986,16.814838565444663,1530185,112,7.31937641527005,1.9905251351736584,214410.652960263,12.27564839425907,0,María Teresa Jiménez Esquivel,PAN,0,0,,392.0,5.971261839790462
02,Baja California,2019,2557.0,67.86597730192265,4.2175348383229165,7.846589975291186,2557.0,67.86597730192265,4.2175348383229165,39,3.6635616461296463,39,3.6635616461296463,145.0,4.976733742420574,64.0,4.158883083359672,45679821.05,47776242.57415387,17.68203905663054,3767720,2606,69.16649857208073,4.23651662071652,237264.51249031245,12.376930884212824,0,Francisco Vega de Lamadrid,PAN,1,1,0.0,1745.0,7.464509834636527
02,Baja California,2020,1834.0,47.777599183456346,3.866556893323721,7.51425465281641,1834.0,47.777599183456346,3.866556893323721,39,3.6635616461296463,38,3.6375861597263857,127.0,4.844187086458591,55.0,4.007333185232471,43208697.0,43208697.0,17.581552352396745,3838619,2629,68.48817243909853,4.226661065237192,218748.8104445896,12.295679366237485,1,Jaime Bonilla Valdez,MORENA,1,1,0.0,1823.0,7.508238774678663
02,Baja California,2021,596.0,15.321632165144573,2.7292656968324702,6.39024066706535,596.0,15.321632165144573,2.7292656968324702,38,3.6375861597263857,36,3.58351893845611,116.0,4.7535901911063645,56.0,4.02535169073515,41749189.0,39948701.04394921,17.5031067151035,3889925,2670,68.63885550492618,4.228858781161415,230419.23918841625,12.347655707739602,1,Jaime Bonilla Valdez,MORENA,1,1,0.0,899.0,6.80128303447162
02,Baja California,2022,889.0,22.51658413540749,3.1142521103904848,6.790097235513905,889.0,22.51658413540749,3.1142521103904848,36,3.58351893845611,38,3.6375861597263857,122.0,4.804021044733257,64.0,4.158883083359672,42749519.0,38354135.11573659,17.46237290566846,3948201,2399,60.76185077710076,4.106962137716275,232840.29308538244,12.35810806012643,1,Marina del Pilar Ávila Olmeda,MORENA,1,1,0.0,1484.0,7.302496423727326
