cve_ent,state_name,year,governor,governor_party,political_alignment_morena
01,Aguascalientes,2019,Martín Orozco Sandoval,PAN,0
01,Aguascalientes,2020,Martín Orozco Sandoval,PAN,0
01,Aguascalientes,2021,Martín Orozco Sandoval,PAN,0
01,Aguascalientes,2022,Martín Orozco Sandoval,PAN,0
01,Aguascalientes,2023,María Teresa Jiménez Esquivel,PAN,0
01,Aguascalientes,2024,María Teresa Jiménez Esquivel,PAN,0
02,Baja California,2019,Francisco Vega de Lamadrid,PAN,0
02,Baja California,2020,Jaime Bonilla Valdez,MORENA,1
02,Baja California,2021,Jaime Bonilla Valdez,MORENA,1
02,Baja California,2022,Marina del Pilar Ávila Olmeda,MORENA,1
02,Baja California,2023,Marina del Pilar Ávila Olmeda,MORENA,1
02,Baja California,2024,Marina del Pilar Ávila Olmeda,MORENA,1
03,Baja California Sur,2019,Carlos Mendoza Davis,PAN,0
03,Baja California Sur,2020,Carlos Mendoza Davis,PAN,0
03,Baja California Sur,2021,Victor Manuel Castro Cosío,MORENA,1
03,Baja California Sur,2022,Victor Manuel Castro Cosío,MORENA,1
03,Baja California Sur,2023,Victor Manuel Castro Cosío,MORENA,1
03,Baja California Sur,2024,Victor Manuel Castro Cosío,MORENA,1
04,Campeche,2019,Alejandro Moreno Cárdenas,PRI,0
04,Campeche,2020,Alejandro Moreno Cárdenas,PRI,0
04,Campeche,2021,Layda Sansores San Román,MORENA,1
04,Campeche,2022,Layda Sansores San Román,MORENA,1
04,Campeche,2023,Layda Sansores San Román,MORENA,1
04,Campeche,2024,Layda Sansores San Román,MORENA,1
05,Coahuila,2019,Miguel Riquelme Solís,PRI,0
05,Coahuila,2020,Miguel Riquelme Solís,PRI,0
05,Coahuila,2021,Miguel Riquelme Solís,PRI,0
05,Coahuila,2022,Miguel Riquelme Solís,PRI,0
05,Coahuila,2023,Miguel Riquelme Solís,PRI,0
05,Coahuila,2024,Manolo Jiménez Salinas,PRI,0
